,log Length (pc),log Mass (Msun),Line Mass (Msun / pc),Thermal critical line mass,Turbulent critical line mass,Magnetic critical line mass,Shear critical line mass
159,2.604556,5.987792,2416.773776915702,5167.433819454989,42968.17389308214,44831.60673229262,44878.824859091175
160,1.87143,4.748804,754.004607980043,2925.31545495498,4606.5865484966325,7080.4664351730335,7115.59277719502
161,2.637714,6.181847,3500.523519837052,55.00948126133841,494.94005844602293,4668.166556367812,4702.934497941293
162,1.622596,4.126396,319.00684359752097,8814.612099712334,24205.630914068624,33735.05518696794,33835.15883320888
163,3.096824,6.910145,6506.103982116177,262054.1462485848,312775.03256511275,314549.50487916166,314623.43916518014
164,2.86112,6.596286,5434.5801728078295,67636.75305882559,152311.87795001347,158914.49251343586,160744.50124734754
165,2.340085,5.651906,2050.3169404187433,450.3874883304349,496.5418902791174,3154.938220176253,3158.6997369978308
166,2.39131,5.331852,872.0512320402778,444.0054403253399,457.38390992636675,5855.167230033039,5858.167140642525
167,2.772509,6.466413,4942.014325902832,579.5825962057294,610.3099568262379,4215.863823219215,4219.302194069748
168,3.572765,7.41808,7003.497855439663,287599.90043684887,2222742.052606542,2228154.472266683,2229526.4630264435
169,2.463399,5.571467,1282.5313802949424,357.14499725468727,358.6052265871788,7795.7010766274125,7797.002472501845
170,2.830937,6.679024,7048.342506785305,614.0953623403278,660.642693484041,19037.635815827976,19113.97776597822
171,3.668781,8.088847,26306.677457173613,829.7569871568703,1651.1804130780351,9262.481253913887,9287.43463531096
172,1.823828,4.484411,457.7022000839548,25.046592130372865,25.046592130372865,5779.7977800958115,5797.269533326011
173,3.336343,7.225164,7741.4265928540135,74042.46638008319,13963104.385096302,13969067.71825548,13969293.520647297
174,2.65731,6.00154,2209.1743900337747,116.07352547793916,150.93232541962706,22690.666378988604,22715.374210120397
175,2.775384,6.29975,3344.768003169759,602.2764922291523,618.1149446926923,9136.078905444467,9137.26119178211
176,1.812058,3.718772,80.67036092275696,577.774270634495,665.3244138765983,7964.581550983891,7969.013249600476
177,1.806068,4.503933,498.72943382256034,187.54496063227197,263.29389376221616,946.3921300590177,947.7216761783683
178,2.990934,6.535736,3505.9199846471374,586.8427706187442,698.9668173882677,2364.429697933374,2365.17789721984
179,1.893811,4.543754,446.6249699601581,588.5743729653731,765.9134845182222,6433.905964073487,6436.715998144255
180,2.150446,5.173135,1053.632116038103,514.2173020034617,858.6617676489448,4463.300660105682,4467.767648195511
181,2.147708,5.228881,1205.5160587105106,269.6299482035179,5771.917318353912,12435.616277104133,12437.334436383773
182,1.700511,4.209751,323.0278746562279,425.48476565289315,1724.8058094966652,3325.0800444499996,3325.168068006239
183,1.549963,3.381655,67.87221147415443,561.7833263833065,616.6265415546256,1980.5286590973737,1984.0207315755165
184,1.883813,4.74436,725.3489721971343,678.0377376013405,7923.868626747979,10550.695237709275,10559.99856182989
185,2.737082,6.017738,1908.3410832570328,807.488466275512,11621.507855839463,19386.809894113005,19446.31821781081
186,1.481189,3.490631,102.19790662475981,3406.9500383731215,3406.9500383731215,4905.566171554862,4918.849693566435
187,2.158588,5.110877,895.9607817156153,48.935618620176065,48.935618620176065,1061.9574048640986,1065.8682117823344
188,1.631754,4.26091,425.7513169374951,555.9463825443601,555.9463825443601,1325.5328655537542,1325.5524234167542
189,1.888826,4.183265,196.98765034800394,76.92728539090638,328.45556490854705,35982.961457257035,35983.77956974154
190,1.831978,3.971478,137.87959529688567,520.1434177464778,581.6353123844594,1936.801112997542,1937.150331272047
191,3.571756,7.573101,10031.017775376824,505.12544459032586,573.3538176976648,1826.996470124164,1827.0175368133
192,1.90558,4.445664,346.80392179135157,4231.64326198509,33942.42720178198,36370.97613638901,36418.691893288684
193,2.175047,5.492096,2075.1476362438757,506.7674503910954,618.3169802184065,5279.581111875907,5281.493933033902
194,2.384307,4.998035,410.89229736207164,29.876151965167665,121.03263210717971,10237.132531554991,10244.170435515985
195,2.105827,5.141606,1085.872913432695,92812.90253015752,1220128.6296661582,1227019.591712579,1227060.9020717978
196,3.629485,7.636865,10171.382816557494,8374.383419901662,25168.370322448078,29316.076208172628,29446.930470252802
197,1.549963,3.497559,88.63311238790064,623.6944988895482,737.6156302638461,2085.600292177654,2086.2444518669113
198,2.614696,5.800154,1532.7029736765603,111575.4295051375,111579.51024884132,112536.10202750277,113229.5852327235
199,1.999942,4.203595,159.82804969448284,680.9910383384241,729.1274653439127,45047.22366719303,45088.12949229461
200,2.432023,5.499887,1169.1332177832182,1223.0469483052032,3677.101817131055,8937.210525314462,8949.118784972363
201,2.420051,5.96936,3542.4929938798687,422.9035658328394,510.7378430334739,15838.8945134743,15844.685174026956
202,1.661531,4.244712,382.98432563394783,30.274939135532104,15906.780219871878,19242.72219404898,19646.242633103007
203,2.485349,6.085046,3978.2951470487424,66986.72939758298,83664.8244231057,84948.74608602081,85626.78921247144
204,1.954067,5.343265,2450.1800533586693,352588.87782028224,582964.4439064999,584721.3573972075,585261.1729081129
205,1.90558,4.551405,442.41006624648344,342476.58195336553,342476.58195336553,344243.6619790592,345681.7675120445
206,1.932758,4.686193,566.8067323268806,137504.3363019132,712038.2846257264,716033.7064966565,716359.7888450315
207,3.028227,6.633135,4026.3173265876467,1703009.14096045,2910972.885920376,2916089.706891361,2919612.021058078
208,1.56515,3.666001,126.13946945200323,560.4182985139071,561.5747350372615,1684.8538502037302,1691.8903888600212
209,1.932758,4.61802,484.46454590343274,8711.663275332276,87244.60410325073,89767.76159823009,89813.79342408245
210,2.09093,5.024792,858.7406075291759,1950.57147314102,7004.830585590987,13651.553995902479,13760.98275178447
211,2.207619,5.500897,1964.617462708546,2033.2137599158063,2582.9593231370964,6992.458462454569,7061.037503698932
212,1.7758,4.331845,359.786612992541,181.24382334072502,562.0493163346191,6537.936492452497,6538.610354002853
213,2.045778,4.951787,805.3951314435413,197.832314591854,306.61939537817995,2491.716111934343,2492.2771641461136
214,1.449187,3.675959,168.56678353038836,130.5347788062631,130.5347788062631,40706.58214361181,40714.91045736389
215,2.645149,6.12542,3021.836760039058,14538.804284174741,19157.887210628407,21814.935324894865,21851.898591867015
216,2.956989,6.705607,5605.547022132992,512.1463993508314,537.2299368072944,3790.959940783905,3791.021634852951
217,2.073585,5.002207,848.4416892995071,976.6728216464658,1181.2829329396159,2877.623391713354,2929.489748218347
218,1.511062,3.733089,166.735086819476,778.6268679428237,1096.535049833939,1797.204077630332,1820.382669391925
219,2.944241,6.595211,4476.823783051127,41762.89381892832,49311.16110834793,52374.53436329066,52472.9518135915
220,2.436052,6.027853,3906.6184787704815,843.1467482786591,1149.1159918627386,5777.855968235747,5780.055603523862
221,2.427704,5.583184,1430.4741035362636,101506.7354863737,1015129.9561012058,1020202.8982762623,1025397.2102717848
222,1.759856,4.577721,657.4534368530121,887.8433893340614,918.5624809368493,1822.9151698005448,1866.5406283344032
223,2.567001,5.692561,1335.2420473262116,786.6099511962705,1626.3237158098734,6511.1298436787165,6526.8497105571105
224,2.527043,5.838271,2047.5192805327245,566.6643022766008,675.0458324453008,974.2884276906725,974.9148164434946
225,1.549963,3.498508,88.82700108288738,603.371846605314,670.3197763200715,3480.963958844865,3482.02372930993
226,3.761873,8.227603,29223.35003218721,49092.64582855121,77099.49072698601,80544.17238276657,80837.27837845459
227,2.470552,5.762533,1958.758977656214,533.1390876828017,1141.3500429209275,21047.586185133685,21058.91064162311
228,2.516963,5.555601,1093.0448943981537,969715.6214207892,1002286.5192242985,1003625.0631326967,1003688.5892456247
229,3.195355,7.479426,19234.061484573373,443.48337734360354,3195.919851479909,14594.983176995465,14956.740978390531
230,3.201317,7.153635,8960.206114654145,1765.209433883793,5785.87994423448,11522.844198458542,11559.12572016837
231,2.145405,4.790845,442.01804560731756,6798.29692026411,10496.573543677083,15199.622493849845,15249.46329836772
232,2.499358,5.900563,2518.865627187027,1228.5791479319919,1636.5970388897056,4726.0936657161465,4730.191446311065
233,1.856429,3.807211,89.28571894643068,505.3787167647288,510.9258206039589,5891.422070026628,5894.6064597928735
234,1.549963,3.499919,89.11606467382343,602.0091574893426,19304.241468572247,20077.560466443694,20078.309634690148
235,1.986511,4.102604,130.6450622056223,400.0817495662894,410.5178939915713,2007.1645369295918,2007.1669642978834
236,3.411438,7.896147,30528.748420440577,11994.023983092633,30593.506029693734,38368.19415305364,38416.64572939054
237,3.050483,6.668197,4146.808690320626,3528.475833746523,11986.313971310377,12985.000392179336,13055.812611037569
238,2.442844,5.848164,2542.8456533635613,553982.5853969547,586445.3138606629,586746.7698144108,587288.7482319803
239,3.359264,7.080637,5264.692378735563,2452.92286546175,3313.987856023721,10860.511939327716,10871.680334337058
240,1.599728,3.913285,205.85290492960942,100.12998748420401,136.84827733539225,3359.3983924699073,3362.581367814199
241,2.382711,5.719612,2172.2059552052183,552.3577520735658,628.0976580828956,1775.5581728470772,1810.2541704632465
