,log Length,log Mass,Line Mass,Thermal,Total,Magnetic
268,3.857403,8.386633,33824.39209249753,1846.6068691126177,5288.465953537698,18738.12938903383
269,1.743304,4.26297,330.8765585495514,2033.3321309861974,2044.558911282893,6300.922207694127
270,2.306411,5.505047,1579.9232857415086,4824.756826507094,5899.392507550799,8993.182976591552
271,2.545603,5.911466,2322.0041949345177,288.7615394560975,700.7497989628274,1071.6416665943993
272,2.560842,5.816909,1803.2959196355398,3093.6886661180333,29181.941268491322,29366.87274145046
273,2.078736,4.839197,576.0510863779675,1727.70884241053,1727.70884241053,6684.60249581538
274,1.708134,3.632352,83.98814706105179,1692.171050667149,1692.1739150836784,23941.226173144823
275,2.40318,5.578383,1496.935197186332,1267.1809714217034,4258.768750780108,10248.593548368786
276,2.710918,5.890281,1511.3428647645817,2799.7208411000697,11202.38888606795,13462.969971648537
277,1.823828,3.998904,149.64975149596702,9676.107011473663,9738.549684104426,18595.408980942433
278,2.55089,5.834028,1919.2785074735268,234.13042133643356,,
279,2.364293,5.479368,1303.3918468155362,1925.129799827322,2875.0491335447873,22158.6847935684
280,3.228644,7.225746,9933.493227029776,904.4776813235496,5206.983342990054,17372.307791388135
281,2.068931,4.92937,725.168615428645,1736.6090910285347,1791.7766740740678,15128.98650645993
282,2.322652,5.381441,1144.956534364593,831.2143547143543,854.5221431861584,3611.874203306204
283,3.285565,7.079955,6228.593669119777,950.1230066331809,5043.11201723623,5410.229348565239
284,2.699733,6.116882,2613.057701997678,3123.54903105836,3311.6462622387166,22717.934797281923
285,1.622596,3.684853,115.41360323611592,4056.6925494586794,4070.8687038774665,16303.100410222223
286,1.708134,3.660783,89.67037789580162,,,
287,2.470552,5.637195,1467.7192827939125,4271.419493041056,16443.703674051594,28662.333616795368
288,1.449187,3.61248,145.6441348177822,2006.442687618946,2006.442687618946,2646.493895159958
289,2.24366,4.87574,428.62746922344735,505.22683368591476,523.3477398435155,2549.0278625685005
290,2.284364,5.267625,962.190356730932,4196.7912168964995,4904.840493758942,23429.540083930035
291,1.549963,3.379798,67.58261623142971,5737.968350860375,5737.968350860375,6470.005031099499
292,3.71718,8.34321,42269.781218756565,1466.7952363519328,4836.24228167563,13179.254668965672
293,1.718742,4.55926,692.6566370576907,1241.9464044379356,,
294,2.536888,6.05686,3311.0977335842485,3066.593416406774,16286.043153138919,27592.89660577777
295,1.700511,4.292935,391.22265855306466,,,
296,3.381441,7.107141,5317.408188271434,856.6218005437314,912.209891173625,22009.459214706883
297,1.653037,3.995891,220.21860133789812,,,
298,2.094049,4.801496,509.85537255290734,4524.370616280791,5167.243144002554,13218.576138790324
299,2.704531,6.108388,2534.2940269470078,730.523513835248,824.26874080696,1163.0143389908606
300,2.052689,4.953939,796.617788516731,4802.512444835295,8976.199283724165,10990.898904766314
301,1.549963,3.499045,88.93690255305094,,,
302,2.734357,6.309984,3763.804004596008,1103.5318622082439,3536.6053809553327,5813.371963658684
303,2.314438,5.229259,821.9038220013155,5741.378002886934,5989.30126178058,39261.68677381476
304,2.032227,4.805138,592.8038287992817,5771.303592341351,7684.420902478395,13196.87584712385
305,2.116069,5.006319,776.6940890251541,6182.961350756795,8638.79134932518,12075.596214950478
306,2.552613,6.161189,4060.4671377496707,4463.319654512233,7988.679681243898,9802.284960831423
307,1.538948,3.885451,222.07670239129038,1935.0395556989752,,
308,2.297073,5.138349,693.8666275267719,490.7958935111218,584.4504857010553,3821.3516854700047
309,2.330703,5.570516,1737.0527216112964,1288.1022520534846,1456.8927160026071,6935.59284531466
310,1.851024,4.409392,361.71623354525747,3652.9175821668578,3970.3486130937604,6813.8024973583915
311,2.233801,5.358225,1331.7539696806157,5358.100374360764,8640.963789458256,14883.921907943064
312,3.49109,7.661736,14813.101546028576,1553.1520509036372,4377.393797370845,18466.42219416374
313,2.299027,4.641548,220.0498110581986,,,
314,2.409,5.645057,1722.0945805050308,1003.4512001130473,1170.0196733931698,1553.775999376808
315,1.549963,3.861859,205.06710481857039,2729.3196651358658,2729.3196651358658,7548.936441596339
316,2.743007,6.42559,4814.852640533288,8902.291956080424,26518.457051558988,31741.73413908926
317,1.968498,4.576439,405.4534498336085,9021.30594647664,15168.74589834008,19998.694363652787
318,3.561986,7.371915,6455.4868382233035,886.4259684428492,9123.338844099093,11226.37804112955
319,1.988161,4.794872,640.7830274758124,9741.17485734504,10806.528681252435,10920.865062447867
320,2.830504,6.60658,5971.39774791971,2623.691892704756,8473.129215267849,10266.496075280955
321,2.248958,5.051018,633.9572896433706,634.0174578184577,999.5855433834779,5315.050434218756
322,3.167049,7.092318,8419.164593513357,761.4509855659021,5005.007614230326,6183.500070493015
323,1.759856,4.423978,461.44718396654366,12343.534083296265,12961.56040313721,15526.27917983273
324,2.204206,5.211479,1016.8877134474882,5689.00542251516,7143.898749161503,11946.323210187458
325,1.863994,4.301884,274.0879862000362,9211.627537332375,9212.666934510798,10042.894308986817
326,3.040733,6.806819,5835.606508657418,739.6434919444625,17881.94396676147,18867.87863718048
327,2.292333,4.970078,476.15132807909185,786.9726267984881,833.5027910391861,3573.4202812537765
328,2.290348,5.166435,751.7734778839557,16678.876599499712,18374.725980483843,28314.87721232466
329,1.681482,4.277375,394.36012899547376,,,
330,2.299831,4.716767,261.1776440438521,,,
331,1.858653,4.506953,444.9385139745809,5699.43147308751,6093.508868503062,7176.267357305971
332,2.009186,4.567197,361.41901670212576,,,
333,3.398473,7.244419,7013.680851743814,735.632929230237,1555.6111317648863,3705.196962063006
334,1.90558,4.518948,410.5518372781199,5829.187078372553,6936.283912386842,7887.908716221018
335,1.932758,4.610122,475.7337908754502,1233.4488351311375,1252.3923948121546,3026.1485018561348
